category,metric,target,note
资金目标,初始资金,10000元,小资金策略优先考虑手续费和滑点影响
资金目标,策略目标,稳定赚钱,优先控制回撤和亏损时间
收益指标,年化收益率,>8%,先追求稳健正收益
风险指标,最大回撤,必须<=20%,超过20%的策略不作为有效策略；10000元回撤20%约亏损2000元
风险收益指标,Calmar比率,>1;最好>1.5,年化收益率除以最大回撤
稳定性指标,月度胜率,>60%,多数月份尽量保持正收益
稳定性指标,最长回撤时间,<6个月,回本时间不能过长
风险指标,单月最大亏损,<5%,避免单月明显大亏
风险收益指标,夏普比率,>1;最好>1.5,衡量收益相对波动是否合理
交易成本,成本后收益,必须为正,回测必须考虑手续费和滑点
稳健性指标,样本外表现,必须为正或明显稳健,防止历史过拟合
可转债筛选,持仓数量,3-8只,小资金不宜过度分散
可转债筛选,单券仓位,<=30%-40%,避免单券集中风险过高
可转债筛选,转债价格,100-130,优先控制高价债波动风险
可转债筛选,溢价率,不宜过高,优先考虑双低逻辑
可转债筛选,剩余规模,避免过小,减少流动性风险
可转债筛选,日成交额,成交活跃,减少买卖困难和滑点
可转债筛选,强赎风险,必须过滤或单独处理,避免临近强赎风险
可转债筛选,信用风险,避免明显异常标的,关注评级和异常风险
策略方向,优先方向,双低+流动性过滤+强赎过滤+控制最大回撤,作为主要寻找方向
策略方向,可选方向,低价策略,偏防守
策略方向,可选方向,低价+流动性过滤,适合10000元小资金
策略方向,可选方向,定期轮动策略,按周或按月调仓
回测检查,手续费和滑点,必须加入,无成本回测可信度低
回测检查,分年度收益,必须检查,避免收益只来自单一年份
回测检查,月度收益,必须检查,观察稳定性
回测检查,最长回撤时间,必须检查,观察策略可坚持性
回测检查,交易记录,必须输出,需要核对买入和卖出逻辑
回测检查,参数敏感性,必须检查,避免参数轻微变化后失效
